Nom,Numéro,Série,Bloc,État,Version,Langue Carte,Prix Achat,Prix Actuel
Aquali,022/131,Evolutions Prismatiques,Ecarlate et Violet,Mint,normal,fr,"0,00 €",0.48
Voltali,029/131,Evolutions Prismatiques,Ecarlate et Violet,Mint,normal,fr,"0,00 €",0.4
Pyroli,013/131,Evolutions Prismatiques,Ecarlate et Violet,Mint,normal,fr,"0,00 €",0.41
Triopikeau,122/091,Destinees de Paldea,Ecarlate et Violet,Mint,normal,fr,"0,00 €",3.8
Leopardus,91/149,Frontieres Franchies,Noir et Blanc,Excellent,normal,fr,"0,00 €",4.3
Crabaraque,85/149,Frontieres Franchies,Noir et Blanc,Excellent,normal,fr,"0,00 €",4.43
Zoroark,67/98,Pouvoirs Emergeants,Noir et Blanc,Excellent,normal,fr,"0,00 €",2.33
Demolosse,10/95,L Appel des Legendes,Appel des Legendes,Good,normal,fr,"0,00 €",16.19
Maganon,16/95,L Appel des Legendes,Appel des Legendes,Excellent,normal,fr,"0,00 €",9.32
Hypotrempe,50/101,Ile des Dragons,Bloc Ex,Excellent,reverse,fr,"0,00 €",14.73
Kaimorse,6/95,Team Magma Vs Team Aqua,Bloc Ex,Excellent,normal,fr,"0,00 €",20.96
Chartor,12/95,Team Magma Vs Team Aqua,Bloc Ex,Excellent,normal,fr,"0,00 €",34.52
Heledelle,40/101,Ile des Dragons,Bloc Ex,Excellent,reverse,fr,"0,00 €",24.84
Meganium,9/115,Forces Cachees,Bloc Ex,Excellent,normal,fr,"0,00 €",15.28
Nirondelle,86/113,Espece Delta,Bloc Ex,Good,reverse,fr,"0,00 €",9.87
Ponyta,76/112,Rouge Feu Vert Feuille,Bloc Ex,Excellent,reverse,fr,"0,00 €",24.03
Armulys,46/107,Deoxys,Bloc Ex,Excellent,reverse,fr,"0,00 €",47.72
Carvanha,56/107,Deoxys,Bloc Ex,Excellent,reverse,fr,"0,00 €",30.54
Spoink,76/107,Deoxys,Bloc Ex,Very Good,reverse,fr,"0,00 €",17.48
Feebas,61/101,Legendes Oubliees,Bloc Ex,Excellent,reverse,en,"0,00 €",17.4
Kaimorse,15/101,Legendes Oubliees,Bloc Ex,Very Good,normal,fr,"0,00 €",15.14
Draby,43/101,Ile des Dragons,Bloc Ex,Excellent,reverse,fr,"0,00 €",13.72
Barpau,49/101,Ile des Dragons,Bloc Ex,Excellent,reverse,fr,"0,00 €",13.86
Tylton,65/101,Ile des Dragons,Bloc Ex,Excellent,reverse,fr,"0,00 €",15.19
Irido,232/191,Etincelles Deferlantes,Ecarlate et Violet,Mint,normal,fr,"0,00 €",4.09
Amis de paldea,137/131,Evolutions Prismatiques,Ecarlate et Violet,Mint,normal,fr,"0,00 €",1.76
Colza,135/131,Evolutions Prismatiques,Ecarlate et Violet,Mint,normal,fr,"0,00 €",0.97
Erio,134/131,Evolutions Prismatiques,Ecarlate et Violet,Mint,normal,fr,"0,00 €",1.61
Pharamp,1/101,Ile des Dragons,Bloc Ex,Excellent,normal,fr,"0,00 €",27.62
Togekiss,057/189,Astres Radieux,Epee et Bouclier,Mint,normal,fr,"0,00 €",0.92
Colhomard,2/95,Team Magma Vs Team Aqua,Bloc Ex,Very Good,reverse,fr,"0,00 €",12.64
Feunard,19/124,Dragons Exaltes,Noir et Blanc,Excellent,normal,fr,"0,00 €",5.44
Clamiral,41/149,Frontieres Franchies,Noir et Blanc,Excellent,normal,fr,"0,00 €",1.36
Gigalithe,67/124,Dragons Exaltes,Noir et Blanc,Excellent,normal,fr,"0,00 €",1.64
Forgella,166/091,Destinees de Paldea,Ecarlate et Violet,Mint,normal,fr,"0,00 €",5.66
Rongrigou,206/091,Destinees de Paldea,Ecarlate et Violet,Mint,normal,fr,"0,00 €",4.12
Tauros de paldea,172/091,Destinees de Paldea,Ecarlate et Violet,Mint,normal,fr,"0,00 €",3.88
Kraknoix,68/101,Ile des Dragons,Bloc Ex,Excellent,reverse,fr,"0,00 €",14.84
Groudon,9/95,Team Magma Vs Team Aqua,Bloc Ex,Very Good,normal,fr,"0,00 €",15.62
Kyogre,3/95,Team Magma Vs Team Aqua,Bloc Ex,Excellent,normal,fr,"0,00 €",20.92
Drattak,19/97,Dragon,Bloc Ex,Good,normal,fr,"0,00 €",3.64
Libegon,15/97,Dragon,Bloc Ex,Excellent,normal,fr,"0,00 €",4.62
Lucario,31/147,Vainqueurs Supremes,Platine,Mint,normal,fr,"0,00 €",11.61
Deoxys,16/107,Deoxys,Bloc Ex,Very Good,normal,fr,"0,00 €",9.96
Kadabra,32/102,Set de Base,Wizards,Good,normal,fr,"0,00 €",2.03
Simiabraz,43/111,Rivaux Emergeants,Platine,Played,normal,fr,"0,00 €",0.62
Pikachu ex,057/191,Etincelles Deferlantes,Ecarlate et Violet,Mint,normal,fr,"0,00 €",4.02
Colhomard,13/97,Dragon,Bloc Ex,Good,reverse,fr,"0,00 €",24.82
Feurisson,49/95,L Appel des Legendes,Appel des Legendes,Good,reverse,fr,"0,00 €",3.13
Chenipotte,81/97,Dragon,Bloc Ex,Very Good,reverse,fr,"0,00 €",8.54
Feunard,17/95,L Appel des Legendes,Appel des Legendes,Good,reverse,fr,"0,00 €",12.6
Granbull,26/95,L Appel des Legendes,Appel des Legendes,Good,reverse,fr,"0,00 €",7.52
Medicham ex,161/142,Couronne Stellaire,Ecarlate et Violet,Mint,normal,en,"0,00 €",0.6
Farigiraf ex,194/162,Forces Temporelles,Ecarlate et Violet,Mint,normal,en,"0,00 €",1.0
Apireine,23/90,Indomptable,Heartgold Soulsilver,Excellent,reverse,fr,"0,00 €",13.2
Malosse,59/95,L Appel des Legendes,Appel des Legendes,Good,reverse,fr,"0,00 €",10.51
Debugant,36/95,L Appel des Legendes,Appel des Legendes,Excellent,reverse,fr,"0,00 €",11.52
Groudon,6/95,L Appel des Legendes,Appel des Legendes,Mint,reverse,fr,"0,00 €",36.41
Maganon,16/95,L Appel des Legendes,Appel des Legendes,Good,reverse,fr,"0,00 €",9.66
Massko,31/97,Dragon,Bloc Ex,Excellent,reverse,fr,"0,00 €",17.27
Lestombaile,219/198,Ecarlate et Violet,Ecarlate et Violet,Mint,normal,fr,"0,00 €",6.18
Energie metal,143/147,Aquapolis,Wizards,Played,reverse,fr,"0,00 €",10.82
Ecrapince,26/95,Team Magma Vs Team Aqua,Bloc Ex,Excellent,reverse,fr,"0,00 €",12.26
Donphan,42/95,L Appel des Legendes,Appel des Legendes,Good,reverse,fr,"0,00 €",2.62
Tygnon,57/95,L Appel des Legendes,Appel des Legendes,Good,reverse,fr,"0,00 €",5.09
Musteflott,16/95,Dechainement,Heartgold Soulsilver,Very Good,reverse,fr,"0,00 €",2.95
Crocrodil,41/95,L Appel des Legendes,Appel des Legendes,Very Good,reverse,fr,"0,00 €",6.14
Magireve,28/95,L Appel des Legendes,Appel des Legendes,Very Good,reverse,fr,"0,00 €",7.04
Carmache,48/123,Tresors Mysterieux,Diamant et Perle,Very Good,reverse,fr,"0,00 €",4.2
Riolu,50/95,L Appel des Legendes,Appel des Legendes,Very Good,reverse,fr,"0,00 €",4.36
Sorbouboul,29/116,Glaciation Plasma,Noir et Blanc,Excellent,reverse,fr,"0,00 €",0.7
Psykokwak,44/95,Team Magma Vs Team Aqua,Bloc Ex,Mint,reverse,fr,"0,00 €",43.81
Hypotrempe,58/97,Dragon,Bloc Ex,Good,reverse,fr,"0,00 €",7.45
Energy,106/106,Emeraude,Bloc Ex,Good,normal,fr,"0,00 €",2.54
Energy,102/106,Emeraude,Bloc Ex,Excellent,normal,fr,"0,00 €",7.46
Groudon,6/95,L Appel des Legendes,Appel des Legendes,Good,reverse,fr,"0,00 €",12.14
Donphan,7/147,Aquapolis,Wizards,Excellent,reverse,fr,"0,00 €",36.59
Aquali,52/95,L Appel des Legendes,Appel des Legendes,Excellent,reverse,fr,"0,00 €",17.14
Energy,105/106,Emeraude,Bloc Ex,Mint,normal,fr,"0,00 €",9.67
Energy,91/95,L Appel des Legendes,Appel des Legendes,Excellent,reverse,fr,"0,00 €",37.76
Point de distorsion,152/165,Expedition,Wizards,Excellent,normal,fr,"0,00 €",5.58
Evoli,75/147,Aquapolis,Wizards,Excellent,normal,fr,"0,00 €",29.18
Typhlosion,110/123,Heartgold Soulsilver,Heartgold Soulsilver,Mint,normal,fr,"25,00 €",57.6
Brasegali,1/106,Emeraude,Bloc Ex,Excellent,reverse,fr,"0,00 €",43.74
Pyroli,44/95,L Appel des Legendes,Appel des Legendes,Good,reverse,fr,"0,00 €",8.76
Pyroli,44/95,L Appel des Legendes,Appel des Legendes,Good,reverse,fr,"0,00 €",8.76
Felicanis,074/064,Fable Nebuleuse,Ecarlate et Violet,Mint,normal,fr,"0,00 €",9.35
Ogerpon masque turquoise ex,211/167,Mascarade Crepusculaire,Ecarlate et Violet,Mint,normal,fr,"0,00 €",20.2
Ampibidou,201/197,Flammes Obsidiennes,Ecarlate et Violet,Mint,normal,fr,"0,00 €",4.26
Charibari,076/064,Fable Nebuleuse,Ecarlate et Violet,Mint,normal,fr,"0,00 €",8.42
Art secret de jeannine,088/064,Fable Nebuleuse,Ecarlate et Violet,Mint,normal,fr,"0,00 €",3.58
Archeomire,170/162,Forces Temporelles,Ecarlate et Violet,Mint,normal,fr,"0,00 €",6.2
Roc-de-fer ex,192/162,Forces Temporelles,Ecarlate et Violet,Mint,normal,fr,"0,00 €",3.52
Ronflex,10/101,Ile des Dragons,Bloc Ex,Excellent,normal,fr,"0,00 €",41.44
Superdofin,225/091,Destinees de Paldea,Ecarlate et Violet,Mint,normal,fr,"0,00 €",1.47
Juge,228/091,Destinees de Paldea,Ecarlate et Violet,Mint,normal,fr,"0,00 €",1.1
Scovilain ex,216/191,Etincelles Deferlantes,Ecarlate et Violet,Mint,normal,fr,"0,00 €",2.06
Corboss V,161/172,Stars Etincelantes,Epee et Bouclier,Mint,normal,fr,"0,00 €",3.45
Bourrinos,175/162,Forces Temporelles,Ecarlate et Violet,Mint,normal,fr,"0,00 €",7.9
Nigirigon,186/167,Mascarade Crepusculaire,Ecarlate et Violet,Mint,normal,fr,"0,00 €",12.3
Demolosse,066/064,Fable Nebuleuse,Ecarlate et Violet,Mint,normal,fr,"27,00 €",29.54
Ectoplasma et mimiqui gx,53/181,Duo de Choc,Soleil et Lune,Mint,normal,fr,"0,00 €",163.72
